Recipe ID,Recipe Name,Diet Category,Is Vegan (Y/N),Is Vegetarian (Y/N),Is Pescatarian (Y/N),Is Omnivore (Y/N),Gluten Free (Y/N),Dairy Free (Y/N),Servings,Prep Time (min),Cook Time (min),Total Time (min),Calories per Serving,Protein (g),Fat (g),Carbs (g),Fiber (g),Allergens,Main Ingredients,Why It's Healthy
1,Lemon-Herb Baked Salmon with Quinoa & Asparagus,Pescatarian,N,N,Y,N,Y,Y,2,10,20,30,520,42,24,32,6,Fish,salmon fillets; quinoa; asparagus; lemon; olive oil; garlic; dill,"Omega-3 rich salmon, complete-protein quinoa, fiber from asparagus."
2,Chickpea & Quinoa Power Bowl with Tahini Dressing,Vegan,Y,Y,Y,N,Y,Y,2,15,15,30,480,19,20,58,14,Sesame,chickpeas; quinoa; spinach; cherry tomatoes; cucumber; red onion; tahini,"Plant protein + fiber from chickpeas and quinoa, healthy fats from tahini."
3,Tofu & Broccoli Stir-Fry with Brown Rice,Vegan,Y,Y,Y,N,N,Y,3,15,15,30,430,22,16,52,8,Soy; Sesame; Wheat,extra-firm tofu; broccoli; red bell pepper; brown rice; soy sauce; sesame oil; ginger; garlic,"High plant protein, whole-grain rice, minimal added fat."
4,Red Lentil & Coconut Curry,Vegan,Y,Y,Y,N,Y,Y,4,10,25,35,390,16,14,50,12,Tree nut (coconut),red lentils; coconut milk; onion; garlic; ginger; curry powder; diced tomatoes; spinach,"Lentils provide protein, iron, and fiber; turmeric and ginger are anti-inflammatory."
5,Greek Yogurt Breakfast Bowl with Berries & Almonds,Vegetarian,N,Y,Y,N,Y,N,1,5,0,5,360,24,14,38,7,Dairy; Tree nut (almond),nonfat Greek yogurt; mixed berries; almonds; chia seeds; honey,"High-protein yogurt, antioxidant berries, no added sugar (honey optional)."
6,Mediterranean Baked Cod with Tomatoes & Olives,Pescatarian,N,N,Y,N,Y,Y,2,10,20,30,340,38,14,12,3,Fish,cod fillets; cherry tomatoes; Kalamata olives; olive oil; garlic; oregano; lemon,"Lean white fish, low-carb, heart-healthy olive oil and vegetables."
7,Grilled Chicken & Vegetables with Roasted Sweet Potato,Omnivore,N,N,N,Y,Y,Y,2,15,25,40,480,45,14,42,7,None,chicken breast; sweet potato; zucchini; red bell pepper; olive oil; smoked paprika,"Lean protein, complex carbs from sweet potato, no refined ingredients."
8,Ahi Tuna Poke Bowl,Pescatarian,N,N,Y,N,N,Y,2,20,15,35,510,34,16,55,6,Fish; Soy; Sesame,sushi-grade ahi tuna; rice; avocado; edamame; cucumber; carrot; soy sauce,"Lean raw tuna, healthy fats from avocado, balanced macros."
9,Black Bean & Sweet Potato Tacos,Vegan,Y,Y,Y,N,Y,Y,3,15,25,40,410,14,12,64,14,Corn,sweet potatoes; black beans; corn tortillas; avocado; cumin; chili powder; lime,"High fiber and plant protein, beta-carotene from sweet potato, no animal fat."
10,Turkey & Quinoa Stuffed Bell Peppers,Omnivore,N,N,N,Y,Y,N,4,15,35,50,380,32,14,32,6,Dairy (optional cheese topping),bell peppers; lean ground turkey; quinoa; diced tomatoes; onion; garlic; mozzarella (optional),"Lean ground turkey, fiber-rich quinoa and peppers, portion-controlled."
